t_seconds,rms,spectral_centroid_hz,spectral_spread_hz,spectral_rolloff_hz,spectral_flatness,zcr,peak_hz,frame_index,spectral_spread_khz
123.11466666666666,0.049648043,5913.5534476439,3983.2822010786067,9914.0625,0.016755365,0.1845703125,492.1875,11542,3.9832822010786066
123.12533333333333,0.04440793,6154.485090007067,4125.731246485442,10171.875,0.021013625,0.2109375,492.1875,11543,4.125731246485442
123.136,0.036166687,6262.025826203338,4257.728480057847,10617.1875,0.023785306,0.2216796875,492.1875,11544,4.257728480057847
123.14666666666666,0.028498266,6078.245706103239,4340.715420103607,10335.9375,0.020191344,0.2158203125,984.375,11545,4.340715420103607
123.15733333333333,0.023874404,6029.103587940088,4337.270534891648,10125.0,0.016421277,0.20654296875,890.625,11546,4.337270534891648
123.168,0.022053612,5747.548709881538,4129.550770470111,9796.875,0.0116960965,0.19580078125,890.625,11547,4.129550770470111
123.17866666666667,0.021336213,5592.918691465709,3954.4908497280253,9468.75,0.010670822,0.18701171875,960.9375,11548,3.954490849728025
123.18933333333334,0.02164636,5705.545332959257,3849.666372183728,9679.6875,0.016662762,0.18896484375,960.9375,11549,3.849666372183728
123.2,0.05769402,5593.238541204144,4318.237864675654,10406.25,0.02107861,0.15673828125,187.5,11550,4.3182378646756545
123.21066666666667,0.14513947,4533.122728147933,4490.095747178738,10054.6875,0.0066530476,0.111328125,140.625,11551,4.490095747178738
123.22133333333333,0.19182025,4002.6001648880115,4612.155955516373,9726.5625,0.0024729753,0.07958984375,93.75,11552,4.612155955516373
123.232,0.17764817,4034.308565596938,4630.998399231409,9750.0,0.0016510908,0.03076171875,93.75,11553,4.630998399231409
123.24266666666666,0.16691796,4069.6881127655274,4527.5659405428305,9585.9375,0.0014585507,0.0234375,93.75,11554,4.52756594054283
123.25333333333333,0.18327658,3717.7017366398004,4249.383647422341,8812.5,0.00092654105,0.0419921875,93.75,11555,4.2493836474223405
123.264,0.14856577,4139.0282938935015,4061.273709935962,8835.9375,0.0013360814,0.04345703125,93.75,11556,4.061273709935962
123.27466666666666,0.12039394,4384.921332386244,3885.591870338273,8578.125,0.0019071796,0.06494140625,70.3125,11557,3.8855918703382732
123.28533333333333,0.117132805,4498.584800199825,3935.9601832349185,8578.125,0.0033382357,0.091796875,70.3125,11558,3.9359601832349185
123.296,0.09992788,4853.779612265491,4157.845564857938,9117.1875,0.0067211697,0.11279296875,70.3125,11559,4.157845564857938
123.30666666666667,0.0886602,5029.098521134503,4230.6564762530925,9257.8125,0.009572688,0.12890625,304.6875,11560,4.230656476253093
123.31733333333334,0.093464926,4946.249185751702,4170.9376212930865,9210.9375,0.008776506,0.1318359375,304.6875,11561,4.170937621293087
123.328,0.09833404,4860.454919066789,4153.168882764156,9140.625,0.0077069537,0.13330078125,70.3125,11562,4.153168882764156
123.33866666666667,0.10164985,4797.572414755473,4109.474643411389,8906.25,0.0065593855,0.11474609375,70.3125,11563,4.109474643411389
123.34933333333333,0.09967262,4694.3243675793765,4115.453820839887,8812.5,0.0061305156,0.1064453125,70.3125,11564,4.115453820839887
123.36,0.09595406,4723.597732587274,4152.04722125186,8812.5,0.00597827,0.109375,70.3125,11565,4.15204722125186
123.37066666666666,0.09673793,4492.475398365057,4164.060689644475,8671.875,0.0047118366,0.0927734375,70.3125,11566,4.164060689644475
123.38133333333333,0.094888076,4434.993719255429,4168.933882593676,8648.4375,0.0044316635,0.0947265625,70.3125,11567,4.1689338825936755
